"Internal Sample Size","External Sample Size","Coefficient Name","Method","True Value","Avg Estimate","Empirical Standard Error","Empirical Relative Efficiency","Analytical Standard Error","Analytical Relative Efficiency","rMSE","Coverage (95% Nominal)","# Tilt Warnings"
100,400,"Slope","ET-WCLS",5,5.227,2.35,1.283,2.108,1.429,2.361,0.922,0
100,400,"Slope","DR-WCLS",5,5.184,2.613,1.154,2.384,1.264,2.619,0.93,0
100,400,"Slope","PET-WCLS",5,5.213,1.274,2.367,1.216,2.478,1.292,0.943,0
100,1600,"Intercept","WCLS-Internal",-2,-2.035,4.47,1,2.947,1,4.47,0.95,0
100,1600,"Intercept","WCLS-Pooled",-2,0.81,0.544,8.217,0.462,6.378,2.862,0.002,0
100,1600,"Intercept","P-WCLS-Internal",-2,-2.081,4.034,1.108,2.979,0.989,4.035,0.958,0
100,1600,"Intercept","P-WCLS-Pooled",-2,-1.96,1.543,2.896,0.98,3.008,1.544,0.932,0
100,1600,"Intercept","P-WCLS-Pooled-Obs",-2,-1.957,1.631,2.74,1.002,2.941,1.632,0.935,0
100,1600,"Intercept","ET-WCLS-Equal",-2,-2.123,3.689,1.212,2.318,1.271,3.691,0.935,0
100,1600,"Intercept","ET-WCLS-Kron",-2,-2.53,2.505,1.784,2.082,1.415,2.561,0.932,0
100,1600,"Intercept","ET-WCLS",-2,-2.758,1.864,2.398,1.722,1.711,2.012,0.91,0
100,1600,"Intercept","DR-WCLS",-2,-2.816,2.027,2.206,1.954,1.508,2.185,0.932,0
100,1600,"Intercept","PET-WCLS",-2,-2.078,0.901,4.964,0.814,3.622,0.904,0.925,0
100,1600,"Slope","WCLS-Internal",5,4.836,3.161,1,3.131,1,3.165,0.968,0
100,1600,"Slope","WCLS-Pooled",5,2.161,0.461,6.861,0.435,7.204,2.876,0.002,0
100,1600,"Slope","P-WCLS-Internal",5,4.837,3.169,0.998,3.166,0.989,3.173,0.968,0
100,1600,"Slope","P-WCLS-Pooled",5,4.925,1.235,2.561,0.905,3.461,1.237,0.948,0
100,1600,"Slope","P-WCLS-Pooled-Obs",5,4.922,1.306,2.42,0.929,3.37,1.308,0.958,0
